Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
63.151	0.12520	867.22	0.0011531	-4.2230	-4.2226	67.951	32.951	56.033	995.28	-0.040419	308.36	0.17742	0.012239	0.67427	1.4831	1.2945	1.8147	163.55	21.007	29.647	161.11	4.0718	4.3720	0.0061675
65.247	0.18159	858.57	0.0011647	-4.1055	-4.1049	69.781	32.544	56.134	973.84	-0.039750	276.62	0.17258	0.011729	0.94941	1.0533	1.3346	1.8704	161.36	21.066	29.809	163.47	3.7961	4.5266	0.0063600
66.871	0.23797	851.79	0.0011740	-4.0144	-4.0136	71.162	32.232	56.224	957.35	-0.039182	255.10	0.16888	0.011337	1.2174	0.82143	1.3651	1.9127	159.78	21.118	29.956	165.23	3.6051	4.6467	0.0065088
68.212	0.29436	846.14	0.0011818	-3.9390	-3.9380	72.278	31.978	56.307	943.78	-0.038677	239.08	0.16585	0.011015	1.4801	0.67564	1.3898	1.9470	158.55	21.166	30.093	166.63	3.4604	4.7461	0.0066318
69.363	0.35075	841.24	0.0011887	-3.8742	-3.8730	73.220	31.763	56.386	932.17	-0.038215	226.46	0.16326	0.010741	1.7386	0.57517	1.4108	1.9759	157.54	21.210	30.223	167.79	3.3446	4.8317	0.0067378
70.376	0.40714	836.90	0.0011949	-3.8171	-3.8158	74.037	31.577	56.462	921.95	-0.037785	216.13	0.16101	0.010500	1.9938	0.50156	1.4289	2.0010	156.69	21.251	30.346	168.79	3.2487	4.9073	0.0068316
71.284	0.46353	832.98	0.0012005	-3.7659	-3.7643	74.760	31.412	56.535	912.79	-0.037380	207.45	0.15899	0.010286	2.2461	0.44522	1.4450	2.0231	155.95	21.290	30.465	169.65	3.1670	4.9752	0.0069163
72.110	0.51991	829.40	0.0012057	-3.7193	-3.7175	75.411	31.264	56.607	904.47	-0.036994	199.98	0.15717	0.010091	2.4959	0.40065	1.4593	2.0429	155.29	21.328	30.580	170.42	3.0962	5.0372	0.0069938
72.868	0.57630	826.09	0.0012105	-3.6764	-3.6744	76.002	31.129	56.677	896.82	-0.036625	193.47	0.15551	0.0099133	2.7436	0.36448	1.4724	2.0608	154.71	21.363	30.692	171.11	3.0337	5.0943	0.0070655
73.571	0.63269	823.00	0.0012151	-3.6366	-3.6344	76.546	31.006	56.746	889.73	-0.036270	187.71	0.15397	0.0097491	2.9895	0.33451	1.4844	2.0772	154.18	21.398	30.801	171.73	2.9780	5.1473	0.0071325
74.227	0.68908	820.10	0.0012194	-3.5994	-3.5971	77.049	30.893	56.814	883.10	-0.035926	182.56	0.15255	0.0095963	3.2336	0.30925	1.4954	2.0923	153.70	21.431	30.908	172.30	2.9278	5.1970	0.0071956
74.843	0.74547	817.37	0.0012234	-3.5645	-3.5620	77.517	30.787	56.881	876.88	-0.035593	177.91	0.15121	0.0094534	3.4763	0.28766	1.5056	2.1063	153.25	21.464	31.012	172.82	2.8822	5.2437	0.0072553
75.423	0.80185	814.78	0.0012273	-3.5316	-3.5288	77.956	30.689	56.947	871.00	-0.035268	173.68	0.14996	0.0093190	3.7176	0.26899	1.5151	2.1193	152.84	21.495	31.115	173.30	2.8404	5.2879	0.0073120
75.974	0.85824	812.32	0.0012310	-3.5003	-3.4973	78.369	30.596	57.013	865.42	-0.034951	169.82	0.14877	0.0091920	3.9577	0.25267	1.5241	2.1315	152.46	21.526	31.215	173.75	2.8019	5.3299	0.0073663
76.497	0.91463	809.97	0.0012346	-3.4706	-3.4674	78.760	30.509	57.077	860.11	-0.034640	166.26	0.14765	0.0090717	4.1966	0.23829	1.5324	2.1430	152.10	21.555	31.315	174.16	2.7662	5.3700	0.0074183
76.996	0.97102	807.71	0.0012381	-3.4422	-3.4388	79.130	30.427	57.142	855.05	-0.034336	162.97	0.14658	0.0089571	4.4346	0.22550	1.5404	2.1538	151.76	21.585	31.413	174.55	2.7331	5.4082	0.0074684
77.473	1.0274	805.55	0.0012414	-3.4150	-3.4114	79.482	30.349	57.205	850.19	-0.034038	159.91	0.14556	0.0088479	4.6715	0.21406	1.5479	2.1640	151.45	21.613	31.509	174.91	2.7021	5.4450	0.0075167
77.931	1.0838	803.46	0.0012446	-3.3889	-3.3851	79.818	30.275	57.268	845.53	-0.033744	157.05	0.14458	0.0087434	4.9076	0.20376	1.5550	2.1736	151.15	21.641	31.605	175.26	2.6730	5.4803	0.0075634
78.370	1.1402	801.45	0.0012477	-3.3638	-3.3598	80.139	30.205	57.331	841.04	-0.033455	154.38	0.14365	0.0086432	5.1429	0.19444	1.5617	2.1828	150.86	21.669	31.699	175.58	2.6456	5.5143	0.0076087
78.794	1.1966	799.51	0.0012508	-3.3396	-3.3354	80.447	30.137	57.394	836.71	-0.033170	151.87	0.14275	0.0085469	5.3775	0.18596	1.5682	2.1915	150.59	21.696	31.793	175.88	2.6198	5.5472	0.0076527
79.203	1.2530	797.63	0.0012537	-3.3162	-3.3118	80.743	30.073	57.456	832.53	-0.032889	149.51	0.14189	0.0084542	5.6113	0.17821	1.5744	2.1999	150.33	21.722	31.886	176.17	2.5954	5.5790	0.0076955
79.598	1.3093	795.80	0.0012566	-3.2936	-3.2890	81.028	30.011	57.518	828.49	-0.032611	147.27	0.14105	0.0083648	5.8445	0.17110	1.5802	2.2078	150.09	21.749	31.978	176.45	2.5722	5.6098	0.0077373
