Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
216.59	100.00	1197.1	0.00083538	3.2835	3.6511	21.916	43.387	83.630	1025.8	-0.017483	0.00027276	0.18454	liquid
218.66	100.00	1190.1	0.00084024	3.4544	3.8242	22.711	43.246	83.721	1012.1	-0.016938	0.00026384	0.18204	liquid
218.83	100.00	1189.6	0.00084065	3.4686	3.8386	22.777	43.235	83.729	1010.9	-0.016892	0.00026311	0.18183	liquid
219.00	100.00	1189.0	0.00084105	3.4829	3.8530	22.843	43.223	83.737	1009.8	-0.016845	0.00026239	0.18162	liquid
219.18	100.00	1188.4	0.00084146	3.4971	3.8675	22.909	43.211	83.746	1008.6	-0.016797	0.00026166	0.18142	liquid
219.35	100.00	1187.8	0.00084188	3.5114	3.8819	22.975	43.200	83.755	1007.5	-0.016750	0.00026094	0.18121	liquid
219.52	100.00	1187.2	0.00084229	3.5256	3.8963	23.040	43.188	83.763	1006.3	-0.016702	0.00026022	0.18100	liquid
219.69	100.00	1186.7	0.00084270	3.5399	3.9108	23.106	43.177	83.772	1005.2	-0.016654	0.00025951	0.18079	liquid
219.87	100.00	1186.1	0.00084311	3.5541	3.9252	23.172	43.165	83.781	1004.0	-0.016606	0.00025879	0.18059	liquid
220.04	100.00	1185.5	0.00084352	3.5684	3.9396	23.237	43.154	83.790	1002.9	-0.016558	0.00025808	0.18038	liquid
220.21	100.00	1184.9	0.00084394	3.5827	3.9541	23.303	43.142	83.800	1001.7	-0.016509	0.00025737	0.18017	liquid
220.38	100.00	1184.3	0.00084435	3.5969	3.9685	23.369	43.131	83.809	1000.6	-0.016460	0.00025667	0.17997	liquid
220.56	100.00	1183.8	0.00084477	3.6112	3.9830	23.434	43.119	83.819	999.46	-0.016411	0.00025596	0.17976	liquid
220.73	100.00	1183.2	0.00084519	3.6255	3.9974	23.500	43.108	83.828	998.32	-0.016362	0.00025526	0.17955	liquid
220.90	100.00	1182.6	0.00084560	3.6397	4.0119	23.565	43.097	83.838	997.17	-0.016312	0.00025456	0.17935	liquid
221.07	100.00	1182.0	0.00084602	3.6540	4.0263	23.630	43.085	83.848	996.03	-0.016263	0.00025386	0.17914	liquid
