Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
216.59	1.0000	2.5130	0.39792	17.570	19.344	109.04	25.360	34.275	231.70	4.7530	1.0938e-05	0.010737	vapor
219.56	1.0000	2.4773	0.40366	17.646	19.446	109.51	25.474	34.358	233.20	4.5688	1.1085e-05	0.010935	vapor
222.54	1.0000	2.4427	0.40938	17.723	19.549	109.97	25.591	34.447	234.69	4.3951	1.1232e-05	0.011136	vapor
225.51	1.0000	2.4091	0.41510	17.800	19.651	110.43	25.711	34.540	236.16	4.2312	1.1378e-05	0.011338	vapor
228.48	1.0000	2.3764	0.42081	17.878	19.754	110.88	25.834	34.638	237.62	4.0764	1.1525e-05	0.011541	vapor
231.45	1.0000	2.3446	0.42651	17.955	19.857	111.33	25.959	34.739	239.06	3.9300	1.1671e-05	0.011745	vapor
234.43	1.0000	2.3138	0.43220	18.033	19.961	111.77	26.085	34.844	240.49	3.7914	1.1817e-05	0.011952	vapor
237.40	1.0000	2.2837	0.43788	18.112	20.064	112.21	26.213	34.952	241.91	3.6601	1.1963e-05	0.012159	vapor
240.37	1.0000	2.2545	0.44356	18.190	20.168	112.65	26.343	35.063	243.31	3.5355	1.2109e-05	0.012368	vapor
243.34	1.0000	2.2260	0.44924	18.269	20.273	113.08	26.473	35.176	244.70	3.4173	1.2255e-05	0.012578	vapor
246.32	1.0000	2.1983	0.45490	18.349	20.377	113.51	26.605	35.291	246.08	3.3050	1.2401e-05	0.012789	vapor
249.29	1.0000	2.1712	0.46056	18.429	20.483	113.93	26.737	35.408	247.45	3.1981	1.2546e-05	0.013001	vapor
252.26	1.0000	2.1449	0.46622	18.509	20.588	114.35	26.871	35.527	248.81	3.0964	1.2692e-05	0.013214	vapor
255.23	1.0000	2.1192	0.47187	18.590	20.694	114.77	27.004	35.647	250.16	2.9996	1.2837e-05	0.013429	vapor
258.20	1.0000	2.0941	0.47752	18.670	20.800	115.18	27.138	35.768	251.49	2.9073	1.2982e-05	0.013645	vapor
261.18	1.0000	2.0697	0.48317	18.752	20.906	115.59	27.273	35.890	252.82	2.8192	1.3127e-05	0.013861	vapor
264.15	1.0000	2.0458	0.48881	18.833	21.013	116.00	27.407	36.013	254.14	2.7351	1.3272e-05	0.014079	vapor
267.12	1.0000	2.0225	0.49444	18.916	21.120	116.40	27.542	36.137	255.45	2.6548	1.3417e-05	0.014298	vapor
270.09	1.0000	1.9997	0.50008	18.998	21.228	116.81	27.677	36.261	256.75	2.5780	1.3561e-05	0.014517	vapor
273.07	1.0000	1.9774	0.50571	19.081	21.336	117.20	27.811	36.386	258.04	2.5045	1.3705e-05	0.014738	vapor
276.04	1.0000	1.9557	0.51133	19.164	21.444	117.60	27.946	36.511	259.32	2.4342	1.3849e-05	0.014959	vapor
279.01	1.0000	1.9344	0.51696	19.248	21.553	117.99	28.080	36.637	260.60	2.3668	1.3993e-05	0.015182	vapor
281.98	1.0000	1.9136	0.52258	19.332	21.662	118.38	28.214	36.762	261.86	2.3023	1.4137e-05	0.015405	vapor
284.96	1.0000	1.8932	0.52820	19.416	21.772	118.76	28.347	36.888	263.12	2.2404	1.4280e-05	0.015629	vapor
287.93	1.0000	1.8733	0.53381	19.501	21.881	119.15	28.481	37.014	264.38	2.1810	1.4424e-05	0.015854	vapor
290.90	1.0000	1.8538	0.53943	19.586	21.992	119.53	28.614	37.140	265.62	2.1239	1.4567e-05	0.016079	vapor
293.87	1.0000	1.8347	0.54504	19.672	22.102	119.91	28.746	37.265	266.86	2.0691	1.4710e-05	0.016306	vapor
296.85	1.0000	1.8161	0.55065	19.758	22.213	120.28	28.878	37.391	268.09	2.0164	1.4852e-05	0.016533	vapor
299.82	1.0000	1.7977	0.55625	19.844	22.324	120.66	29.010	37.516	269.31	1.9657	1.4994e-05	0.016760	vapor
302.79	1.0000	1.7798	0.56186	19.931	22.436	121.03	29.141	37.641	270.52	1.9170	1.5137e-05	0.016989	vapor
305.76	1.0000	1.7622	0.56746	20.018	22.548	121.39	29.271	37.766	271.73	1.8700	1.5279e-05	0.017218	vapor
308.73	1.0000	1.7450	0.57306	20.105	22.661	121.76	29.401	37.890	272.94	1.8248	1.5420e-05	0.017448	vapor
311.71	1.0000	1.7281	0.57866	20.193	22.773	122.12	29.530	38.014	274.13	1.7812	1.5562e-05	0.017678	vapor
314.68	1.0000	1.7116	0.58426	20.281	22.887	122.49	29.659	38.138	275.32	1.7392	1.5703e-05	0.017909	vapor
317.65	1.0000	1.6953	0.58985	20.370	23.000	122.84	29.787	38.261	276.51	1.6987	1.5844e-05	0.018140	vapor
320.62	1.0000	1.6794	0.59545	20.459	23.114	123.20	29.914	38.384	277.69	1.6596	1.5984e-05	0.018372	vapor
323.60	1.0000	1.6638	0.60104	20.548	23.228	123.56	30.040	38.506	278.86	1.6218	1.6125e-05	0.018605	vapor
326.57	1.0000	1.6484	0.60663	20.638	23.343	123.91	30.166	38.628	280.03	1.5854	1.6265e-05	0.018838	vapor
329.54	1.0000	1.6334	0.61222	20.728	23.458	124.26	30.292	38.749	281.19	1.5501	1.6405e-05	0.019072	vapor
332.51	1.0000	1.6186	0.61781	20.818	23.573	124.61	30.416	38.870	282.34	1.5160	1.6544e-05	0.019306	vapor
335.49	1.0000	1.6041	0.62340	20.909	23.689	124.95	30.540	38.990	283.49	1.4831	1.6683e-05	0.019540	vapor
338.46	1.0000	1.5899	0.62899	21.000	23.805	125.30	30.663	39.110	284.64	1.4512	1.6822e-05	0.019776	vapor
341.43	1.0000	1.5759	0.63457	21.092	23.922	125.64	30.786	39.229	285.78	1.4204	1.6961e-05	0.020011	vapor
344.40	1.0000	1.5621	0.64015	21.184	24.038	125.98	30.907	39.347	286.91	1.3905	1.7100e-05	0.020247	vapor
347.38	1.0000	1.5486	0.64574	21.276	24.155	126.32	31.028	39.465	288.04	1.3616	1.7238e-05	0.020483	vapor
350.35	1.0000	1.5353	0.65132	21.369	24.273	126.66	31.149	39.582	289.17	1.3335	1.7376e-05	0.020720	vapor
353.32	1.0000	1.5223	0.65690	21.461	24.391	126.99	31.268	39.699	290.29	1.3064	1.7513e-05	0.020957	vapor
356.29	1.0000	1.5095	0.66248	21.555	24.509	127.33	31.387	39.815	291.40	1.2800	1.7651e-05	0.021194	vapor
359.26	1.0000	1.4969	0.66806	21.648	24.627	127.66	31.505	39.930	292.51	1.2544	1.7788e-05	0.021432	vapor
362.24	1.0000	1.4845	0.67364	21.742	24.746	127.99	31.622	40.045	293.62	1.2296	1.7924e-05	0.021670	vapor
365.21	1.0000	1.4723	0.67922	21.837	24.866	128.31	31.739	40.159	294.72	1.2056	1.8061e-05	0.021909	vapor
368.18	1.0000	1.4603	0.68479	21.931	24.985	128.64	31.855	40.272	295.81	1.1822	1.8197e-05	0.022147	vapor
371.15	1.0000	1.4485	0.69037	22.026	25.105	128.96	31.970	40.385	296.90	1.1595	1.8333e-05	0.022386	vapor
374.13	1.0000	1.4369	0.69594	22.122	25.225	129.29	32.085	40.497	297.99	1.1374	1.8468e-05	0.022626	vapor
377.10	1.0000	1.4255	0.70152	22.217	25.346	129.61	32.198	40.609	299.07	1.1160	1.8604e-05	0.022865	vapor
380.07	1.0000	1.4142	0.70709	22.313	25.467	129.93	32.311	40.720	300.15	1.0952	1.8738e-05	0.023105	vapor
383.04	1.0000	1.4032	0.71266	22.410	25.588	130.24	32.424	40.830	301.23	1.0749	1.8873e-05	0.023345	vapor
386.02	1.0000	1.3923	0.71824	22.506	25.709	130.56	32.535	40.940	302.30	1.0552	1.9007e-05	0.023585	vapor
388.99	1.0000	1.3816	0.72381	22.603	25.831	130.87	32.646	41.049	303.36	1.0360	1.9141e-05	0.023826	vapor
391.96	1.0000	1.3710	0.72938	22.701	25.953	131.19	32.757	41.157	304.42	1.0173	1.9275e-05	0.024066	vapor
394.93	1.0000	1.3606	0.73495	22.798	26.076	131.50	32.866	41.265	305.48	0.99915	1.9409e-05	0.024307	vapor
397.91	1.0000	1.3504	0.74052	22.896	26.199	131.81	32.975	41.372	306.54	0.98145	1.9542e-05	0.024548	vapor
400.88	1.0000	1.3403	0.74609	22.995	26.322	132.12	33.083	41.478	307.59	0.96421	1.9674e-05	0.024790	vapor
403.85	1.0000	1.3304	0.75166	23.093	26.445	132.42	33.191	41.584	308.63	0.94742	1.9807e-05	0.025031	vapor
406.82	1.0000	1.3206	0.75723	23.192	26.569	132.73	33.297	41.689	309.67	0.93105	1.9939e-05	0.025273	vapor
409.79	1.0000	1.3110	0.76279	23.291	26.693	133.03	33.403	41.794	310.71	0.91509	2.0071e-05	0.025514	vapor
412.77	1.0000	1.3015	0.76836	23.391	26.817	133.34	33.509	41.898	311.75	0.89953	2.0202e-05	0.025756	vapor
415.74	1.0000	1.2921	0.77393	23.491	26.942	133.64	33.614	42.001	312.78	0.88436	2.0334e-05	0.025998	vapor
418.71	1.0000	1.2829	0.77949	23.591	27.067	133.94	33.718	42.104	313.80	0.86955	2.0464e-05	0.026240	vapor
421.68	1.0000	1.2738	0.78506	23.692	27.192	134.23	33.821	42.206	314.83	0.85511	2.0595e-05	0.026482	vapor
424.66	1.0000	1.2648	0.79062	23.792	27.318	134.53	33.924	42.307	315.85	0.84101	2.0725e-05	0.026725	vapor
427.63	1.0000	1.2560	0.79619	23.893	27.444	134.83	34.026	42.408	316.86	0.82725	2.0855e-05	0.026967	vapor
430.60	1.0000	1.2473	0.80175	23.995	27.570	135.12	34.128	42.509	317.88	0.81382	2.0985e-05	0.027210	vapor
433.57	1.0000	1.2387	0.80732	24.097	27.697	135.41	34.229	42.608	318.89	0.80069	2.1114e-05	0.027452	vapor
436.55	1.0000	1.2302	0.81288	24.199	27.823	135.70	34.329	42.707	319.89	0.78788	2.1243e-05	0.027695	vapor
439.52	1.0000	1.2218	0.81844	24.301	27.950	135.99	34.429	42.806	320.90	0.77535	2.1372e-05	0.027938	vapor
442.49	1.0000	1.2136	0.82401	24.403	28.078	136.28	34.528	42.904	321.90	0.76311	2.1500e-05	0.028180	vapor
445.46	1.0000	1.2054	0.82957	24.506	28.206	136.57	34.626	43.001	322.89	0.75115	2.1628e-05	0.028423	vapor
448.44	1.0000	1.1974	0.83513	24.609	28.333	136.86	34.724	43.098	323.88	0.73945	2.1756e-05	0.028666	vapor
451.41	1.0000	1.1895	0.84069	24.713	28.462	137.14	34.821	43.194	324.87	0.72802	2.1884e-05	0.028909	vapor
454.38	1.0000	1.1817	0.84625	24.817	28.590	137.43	34.918	43.290	325.86	0.71683	2.2011e-05	0.029151	vapor
457.35	1.0000	1.1740	0.85181	24.921	28.719	137.71	35.014	43.385	326.84	0.70589	2.2138e-05	0.029394	vapor
460.32	1.0000	1.1664	0.85737	25.025	28.848	137.99	35.110	43.480	327.82	0.69519	2.2264e-05	0.029637	vapor
463.30	1.0000	1.1588	0.86293	25.129	28.978	138.27	35.205	43.574	328.80	0.68471	2.2390e-05	0.029880	vapor
466.27	1.0000	1.1514	0.86849	25.234	29.107	138.55	35.299	43.667	329.77	0.67446	2.2516e-05	0.030123	vapor
469.24	1.0000	1.1441	0.87405	25.339	29.237	138.83	35.393	43.760	330.75	0.66443	2.2642e-05	0.030366	vapor
472.21	1.0000	1.1369	0.87961	25.445	29.367	139.10	35.486	43.852	331.71	0.65460	2.2767e-05	0.030609	vapor
475.19	1.0000	1.1297	0.88517	25.551	29.498	139.38	35.579	43.944	332.68	0.64498	2.2892e-05	0.030851	vapor
478.16	1.0000	1.1227	0.89073	25.657	29.629	139.65	35.671	44.035	333.64	0.63555	2.3017e-05	0.031094	vapor
481.13	1.0000	1.1157	0.89629	25.763	29.760	139.93	35.762	44.126	334.60	0.62632	2.3141e-05	0.031337	vapor
484.10	1.0000	1.1088	0.90185	25.869	29.891	140.20	35.853	44.216	335.55	0.61728	2.3265e-05	0.031580	vapor
487.08	1.0000	1.1020	0.90741	25.976	30.022	140.47	35.944	44.306	336.51	0.60841	2.3389e-05	0.031822	vapor
490.05	1.0000	1.0953	0.91296	26.083	30.154	140.74	36.034	44.395	337.46	0.59973	2.3512e-05	0.032065	vapor
493.02	1.0000	1.0887	0.91852	26.190	30.286	141.01	36.123	44.484	338.41	0.59121	2.3636e-05	0.032307	vapor
495.99	1.0000	1.0822	0.92408	26.298	30.419	141.28	36.212	44.572	339.35	0.58286	2.3758e-05	0.032550	vapor
498.96	1.0000	1.0757	0.92964	26.406	30.551	141.54	36.300	44.660	340.29	0.57468	2.3881e-05	0.032792	vapor
501.94	1.0000	1.0693	0.93519	26.514	30.684	141.81	36.388	44.747	341.23	0.56665	2.4003e-05	0.033035	vapor
504.91	1.0000	1.0630	0.94075	26.622	30.817	142.07	36.476	44.833	342.17	0.55877	2.4125e-05	0.033277	vapor
507.88	1.0000	1.0567	0.94631	26.731	30.951	142.34	36.562	44.920	343.10	0.55105	2.4247e-05	0.033519	vapor
510.85	1.0000	1.0506	0.95186	26.840	31.084	142.60	36.649	45.005	344.03	0.54347	2.4368e-05	0.033761	vapor
513.83	1.0000	1.0445	0.95742	26.949	31.218	142.86	36.735	45.090	344.96	0.53604	2.4489e-05	0.034003	vapor
516.80	1.0000	1.0385	0.96297	27.058	31.352	143.12	36.820	45.175	345.89	0.52874	2.4610e-05	0.034245	vapor
519.77	1.0000	1.0325	0.96853	27.168	31.487	143.38	36.905	45.259	346.81	0.52158	2.4731e-05	0.034487	vapor
522.74	1.0000	1.0266	0.97408	27.278	31.621	143.64	36.989	45.343	347.73	0.51454	2.4851e-05	0.034728	vapor
525.72	1.0000	1.0208	0.97964	27.388	31.756	143.89	37.073	45.426	348.65	0.50764	2.4971e-05	0.034970	vapor
528.69	1.0000	1.0150	0.98519	27.498	31.892	144.15	37.156	45.509	349.57	0.50086	2.5090e-05	0.035211	vapor
531.66	1.0000	1.0093	0.99075	27.609	32.027	144.41	37.239	45.592	350.48	0.49421	2.5209e-05	0.035453	vapor
534.63	1.0000	1.0037	0.99630	27.720	32.163	144.66	37.322	45.674	351.39	0.48767	2.5329e-05	0.035694	vapor
537.61	1.0000	0.99815	1.0019	27.831	32.298	144.91	37.404	45.755	352.30	0.48124	2.5447e-05	0.035935	vapor
540.58	1.0000	0.99264	1.0074	27.942	32.435	145.17	37.485	45.836	353.20	0.47494	2.5566e-05	0.036176	vapor
543.55	1.0000	0.98720	1.0130	28.054	32.571	145.42	37.566	45.917	354.11	0.46874	2.5684e-05	0.036417	vapor
546.52	1.0000	0.98182	1.0185	28.166	32.707	145.67	37.647	45.997	355.01	0.46264	2.5802e-05	0.036657	vapor
549.49	1.0000	0.97649	1.0241	28.278	32.844	145.92	37.727	46.076	355.91	0.45666	2.5919e-05	0.036898	vapor
552.47	1.0000	0.97123	1.0296	28.390	32.981	146.17	37.807	46.156	356.80	0.45077	2.6037e-05	0.037138	vapor
555.44	1.0000	0.96602	1.0352	28.503	33.119	146.42	37.886	46.234	357.70	0.44499	2.6154e-05	0.037379	vapor
558.41	1.0000	0.96086	1.0407	28.615	33.256	146.66	37.965	46.313	358.59	0.43930	2.6270e-05	0.037619	vapor
561.38	1.0000	0.95576	1.0463	28.728	33.394	146.91	38.043	46.391	359.48	0.43371	2.6387e-05	0.037859	vapor
564.36	1.0000	0.95072	1.0518	28.842	33.532	147.15	38.121	46.468	360.36	0.42821	2.6503e-05	0.038098	vapor
567.33	1.0000	0.94572	1.0574	28.955	33.670	147.40	38.199	46.545	361.25	0.42280	2.6619e-05	0.038338	vapor
570.30	1.0000	0.94078	1.0629	29.069	33.809	147.64	38.276	46.622	362.13	0.41748	2.6735e-05	0.038577	vapor
573.27	1.0000	0.93589	1.0685	29.183	33.947	147.88	38.352	46.698	363.01	0.41225	2.6850e-05	0.038817	vapor
576.25	1.0000	0.93106	1.0741	29.297	34.086	148.13	38.429	46.774	363.89	0.40710	2.6965e-05	0.039056	vapor
579.22	1.0000	0.92627	1.0796	29.411	34.225	148.37	38.504	46.849	364.76	0.40203	2.7080e-05	0.039295	vapor
582.19	1.0000	0.92153	1.0852	29.526	34.365	148.61	38.580	46.924	365.64	0.39705	2.7195e-05	0.039534	vapor
585.16	1.0000	0.91684	1.0907	29.641	34.504	148.85	38.655	46.999	366.51	0.39214	2.7309e-05	0.039772	vapor
588.14	1.0000	0.91219	1.0963	29.756	34.644	149.08	38.729	47.073	367.38	0.38732	2.7423e-05	0.040011	vapor
591.11	1.0000	0.90760	1.1018	29.871	34.784	149.32	38.803	47.147	368.25	0.38257	2.7537e-05	0.040249	vapor
594.08	1.0000	0.90305	1.1074	29.986	34.924	149.56	38.877	47.220	369.11	0.37789	2.7650e-05	0.040487	vapor
597.05	1.0000	0.89854	1.1129	30.102	35.065	149.79	38.950	47.293	369.97	0.37328	2.7763e-05	0.040725	vapor
600.02	1.0000	0.89408	1.1185	30.218	35.206	150.03	39.023	47.366	370.83	0.36875	2.7876e-05	0.040962	vapor
603.00	1.0000	0.88967	1.1240	30.334	35.347	150.26	39.096	47.438	371.69	0.36429	2.7989e-05	0.041200	vapor
605.97	1.0000	0.88530	1.1296	30.451	35.488	150.50	39.168	47.510	372.55	0.35989	2.8102e-05	0.041437	vapor
608.94	1.0000	0.88097	1.1351	30.567	35.629	150.73	39.240	47.581	373.41	0.35556	2.8214e-05	0.041674	vapor
611.91	1.0000	0.87668	1.1407	30.684	35.770	150.96	39.311	47.652	374.26	0.35129	2.8326e-05	0.041911	vapor
614.89	1.0000	0.87243	1.1462	30.801	35.912	151.19	39.382	47.723	375.11	0.34709	2.8437e-05	0.042148	vapor
617.86	1.0000	0.86823	1.1518	30.918	36.054	151.42	39.453	47.793	375.96	0.34296	2.8549e-05	0.042384	vapor
620.83	1.0000	0.86406	1.1573	31.036	36.196	151.65	39.523	47.863	376.80	0.33888	2.8660e-05	0.042621	vapor
623.80	1.0000	0.85994	1.1629	31.153	36.339	151.88	39.593	47.933	377.65	0.33486	2.8771e-05	0.042857	vapor
626.78	1.0000	0.85586	1.1684	31.271	36.481	152.11	39.662	48.002	378.49	0.33090	2.8882e-05	0.043093	vapor
629.75	1.0000	0.85181	1.1740	31.389	36.624	152.34	39.731	48.071	379.33	0.32700	2.8992e-05	0.043328	vapor
632.72	1.0000	0.84780	1.1795	31.507	36.767	152.56	39.800	48.139	380.17	0.32316	2.9102e-05	0.043564	vapor
635.69	1.0000	0.84383	1.1851	31.626	36.910	152.79	39.868	48.207	381.01	0.31937	2.9212e-05	0.043799	vapor
638.67	1.0000	0.83990	1.1906	31.744	37.054	153.01	39.936	48.275	381.84	0.31563	2.9322e-05	0.044034	vapor
641.64	1.0000	0.83600	1.1962	31.863	37.197	153.24	40.004	48.342	382.68	0.31195	2.9431e-05	0.044269	vapor
644.61	1.0000	0.83214	1.2017	31.982	37.341	153.46	40.071	48.409	383.51	0.30832	2.9540e-05	0.044503	vapor
647.58	1.0000	0.82831	1.2073	32.101	37.485	153.68	40.138	48.476	384.34	0.30474	2.9649e-05	0.044738	vapor
650.55	1.0000	0.82452	1.2128	32.221	37.629	153.91	40.204	48.542	385.17	0.30121	2.9758e-05	0.044972	vapor
653.53	1.0000	0.82077	1.2184	32.340	37.774	154.13	40.271	48.608	385.99	0.29773	2.9867e-05	0.045206	vapor
656.50	1.0000	0.81705	1.2239	32.460	37.918	154.35	40.336	48.673	386.82	0.29429	2.9975e-05	0.045439	vapor
659.47	1.0000	0.81336	1.2295	32.580	38.063	154.57	40.402	48.738	387.64	0.29091	3.0083e-05	0.045673	vapor
662.44	1.0000	0.80970	1.2350	32.701	38.208	154.79	40.467	48.803	388.46	0.28757	3.0191e-05	0.045906	vapor
665.42	1.0000	0.80608	1.2406	32.821	38.353	155.01	40.532	48.868	389.28	0.28428	3.0298e-05	0.046139	vapor
668.39	1.0000	0.80249	1.2461	32.942	38.498	155.22	40.596	48.932	390.10	0.28103	3.0406e-05	0.046372	vapor
671.36	1.0000	0.79893	1.2517	33.062	38.644	155.44	40.660	48.996	390.91	0.27782	3.0513e-05	0.046605	vapor
674.33	1.0000	0.79541	1.2572	33.183	38.790	155.66	40.724	49.059	391.73	0.27466	3.0620e-05	0.046837	vapor
677.31	1.0000	0.79191	1.2628	33.305	38.936	155.87	40.787	49.122	392.54	0.27154	3.0726e-05	0.047069	vapor
680.28	1.0000	0.78845	1.2683	33.426	39.082	156.09	40.850	49.185	393.35	0.26846	3.0833e-05	0.047301	vapor
683.25	1.0000	0.78501	1.2739	33.547	39.228	156.30	40.913	49.248	394.16	0.26542	3.0939e-05	0.047533	vapor
